filename,filesize,codec,compression_time,resolution,bitrate_kbps,PSNR,compression_ratio
output_mpeg4_1280x720_2000k.mp4,17764448,mpeg4,2.760023832321167,1280x720,2000,48.1,0.627676244147862
output_mpeg4_1280x720_2500k.mp4,21506162,mpeg4,2.742906093597412,1280x720,2500,48.78,0.518471031697799
output_mpeg4_1280x720_3000k.mp4,24984004,mpeg4,2.898446083068848,1280x720,3000,48.82,0.44629843959358956
output_mpeg4_1280x720_3500k.mp4,28350269,mpeg4,3.0063037872314453,1280x720,3500,48.82,0.3933056860941954
output_mpeg4_720x480_100k.mp4,4800801,mpeg4,2.1914496421813965,720x480,100,35.47,1.3179059077849717
output_mpeg4_720x480_200k.mp4,4815517,mpeg4,2.2047297954559326,720x480,200,35.47,1.3138784475270258
output_mpeg4_720x480_300k.mp4,5076297,mpeg4,2.216603279113769,720x480,300,37.95,1.246381762138819
output_mpeg4_720x480_400k.mp4,5814991,mpeg4,2.2398455142974854,720x480,400,40.44,1.0880505232080324
output_mpeg4_720x480_500k.mp4,6556037,mpeg4,2.226023435592652,720x480,500,42.38,0.9650653283378358
output_mpeg4_720x480_750k.mp4,8421630,mpeg4,2.2218241691589355,720x480,750,44.74,0.751280215350235
output_mpeg4_720x480_1000k.mp4,10284244,mpeg4,2.282233715057373,720x480,1000,47.35,0.6152133302165915
output_mpeg4_720x480_1250k.mp4,12143407,mpeg4,2.343679666519165,720x480,1250,47.96,0.5210237950519159
output_mpeg4_720x480_1500k.mp4,13926280,mpeg4,2.3666460514068604,720x480,1500,47.98,0.45432118268482324
output_mpeg4_720x480_2000k.mp4,17135468,mpeg4,2.254356861114502,720x480,2000,48.11,0.36923438566136624
output_mpeg4_720x480_2500k.mp4,18832179,mpeg4,2.2433340549468994,720x480,2500,47.98,0.3359677071888495
output_mpeg4_720x480_3000k.mp4,19388487,mpeg4,2.274078369140625,720x480,3000,47.98,0.32632788726629364
output_mpeg4_720x480_3500k.mp4,19408785,mpeg4,2.2265138626098637,720x480,3500,47.98,0.32598660864139617
output_mpeg4_352x288_100k.mp4,3576617,mpeg4,2.074066638946533,352x288,100,34.97,1.087322461420946
output_mpeg4_352x288_200k.mp4,4337038,mpeg4,2.0804331302642822,352x288,200,39.88,0.8966801766551273
output_mpeg4_352x288_300k.mp4,5080991,mpeg4,2.1115715503692627,352x288,300,41.72,0.7653892715023506
output_mpeg4_352x288_400k.mp4,5801951,mpeg4,2.086549758911133,352x288,400,44.35,0.6702807383240569
output_mpeg4_352x288_500k.mp4,6534289,mpeg4,2.099897623062134,352x288,500,46.47,0.5951582490459176
output_mpeg4_352x288_750k.mp4,8185259,mpeg4,2.1170027256011963,352x288,750,46.48,0.4751145931973564
output_mpeg4_352x288_1000k.mp4,9484812,mpeg4,2.4613726139068604,352x288,1000,46.48,0.41001719380415763
output_mpeg4_352x288_1250k.mp4,10024353,mpeg4,2.110142946243286,352x288,1250,46.48,0.38794882821863913
output_mpeg4_352x288_1500k.mp4,10119544,mpeg4,2.145313262939453,352x288,1500,46.48,0.3842995297021289
output_mpeg4_352x288_2000k.mp4,10119544,mpeg4,2.0641849040985107,352x288,2000,46.48,0.3842995297021289
output_mpeg4_352x288_2500k.mp4,10119544,mpeg4,2.048867464065552,352x288,2500,46.48,0.3842995297021289
output_mpeg4_352x288_3000k.mp4,10119544,mpeg4,2.0333285331726074,352x288,3000,46.48,0.3842995297021289
output_mpeg4_352x288_3500k.mp4,10119544,mpeg4,2.048491954803467,352x288,3500,46.48,0.3842995297021289
output_mpeg4_176x144_100k.mp4,3558861,mpeg4,1.923314094543457,176x144,100,40.65,0.7985821868288758
output_mpeg4_176x144_200k.mp4,4262612,mpeg4,1.9218997955322263,176x144,200,45.13,0.6667374370456425
output_mpeg4_176x144_300k.mp4,4848127,mpeg4,1.923353910446167,176x144,300,45.19,0.5862146350539085
output_mpeg4_176x144_400k.mp4,5319813,mpeg4,1.91330361366272,176x144,400,45.19,0.534237387667574
output_mpeg4_176x144_500k.mp4,5521598,mpeg4,1.923078775405884,176x144,500,45.66,0.514713856387227
output_mpeg4_176x144_750k.mp4,5535678,mpeg4,1.9383349418640137,176x144,750,45.66,0.5134046814139117
output_mpeg4_176x144_1000k.mp4,5535678,mpeg4,1.9075193405151367,176x144,1000,45.66,0.5134046814139117
output_mpeg4_176x144_1250k.mp4,5535678,mpeg4,1.9223647117614744,176x144,1250,45.66,0.5134046814139117
output_mpeg4_176x144_1500k.mp4,5535678,mpeg4,1.9266836643218996,176x144,1500,45.66,0.5134046814139117
output_mpeg4_176x144_2000k.mp4,5535678,mpeg4,1.938705921173096,176x144,2000,45.66,0.5134046814139117
output_mpeg4_176x144_2500k.mp4,5535678,mpeg4,1.9226994514465328,176x144,2500,45.66,0.5134046814139117
output_mpeg4_176x144_3000k.mp4,5535678,mpeg4,1.9379630088806152,176x144,3000,45.66,0.5134046814139117
output_mpeg4_176x144_3500k.mp4,5535678,mpeg4,1.9092020988464355,176x144,3500,45.66,0.5134046814139117
output_h264_1920x1080_100k.mp4,2854910,h264,8.762302160263062,1920x1080,100,29.62,7.15572574967337
output_h264_1920x1080_200k.mp4,3533358,h264,9.159546852111816,1920x1080,200,35.98,5.7817387878612925
output_h264_1920x1080_300k.mp4,4231946,h264,9.565754652023315,1920x1080,300,38.08,4.827318921366199
output_h264_1920x1080_400k.mp4,4949376,h264,10.208257675170898,1920x1080,400,39.7,4.1275815375514
output_h264_1920x1080_500k.mp4,5677205,h264,10.601513624191284,1920x1080,500,40.81,3.598417355018887
output_h264_1920x1080_750k.mp4,7501965,h264,10.7008216381073,1920x1080,750,42.7,2.723146935502898
output_h264_1920x1080_1000k.mp4,9332105,h264,11.11486005783081,1920x1080,1000,43.93,2.189104494645099
output_h264_1920x1080_1250k.mp4,11161976,h264,11.61168622970581,1920x1080,1250,44.75,1.8302272823378227
output_h264_1920x1080_1500k.mp4,12997894,h264,13.052488088607788,1920x1080,1500,45.44,1.5717125405084855
output_h264_1920x1080_2000k.mp4,16663516,h264,12.800697088241575,1920x1080,2000,46.63,1.2259689371678821
output_h264_1920x1080_2500k.mp4,20261727,h264,13.47192931175232,1920x1080,2500,47.87,1.0082532944995262
output_h264_1920x1080_3000k.mp4,23857975,h264,13.638870239257812,1920x1080,3000,48.96,0.8562735521350827
output_h264_1920x1080_3500k.mp4,27430634,h264,15.464709043502808,1920x1080,3500,49.95,0.7447495745085586
output_h264_1280x720_100k.mp4,3276308,h264,5.720939636230469,1280x720,100,35.07,3.4033192239557453
output_h264_1280x720_200k.mp4,3970217,h264,6.051544189453125,1280x720,200,38.93,2.8084918280285436
output_h264_1280x720_300k.mp4,4689146,h264,6.124433994293213,1280x720,300,41.3,2.3779003682120368
output_h264_1280x720_400k.mp4,5409929,h264,6.889870405197144,1280x720,400,42.88,2.0610847203355163
output_h264_1280x720_500k.mp4,6129653,h264,7.7449071407318115,1280x720,500,44.0,1.8190788287689368
output_h264_1280x720_750k.mp4,7927956,h264,8.058012247085571,1280x720,750,46.23,1.4064560903213892
output_h264_1280x720_1000k.mp4,9717286,h264,8.506533145904541,1280x720,1000,47.97,1.1474728643368117
output_h264_1280x720_1250k.mp4,11439587,h264,8.887572526931763,1280x720,1250,49.17,0.9747136850307621
output_h264_1280x720_1500k.mp4,13182495,h264,9.395697832107544,1280x720,1500,50.11,0.8458430668852899
output_h264_1280x720_2000k.mp4,16816595,h264,10.317088842391968,1280x720,2000,51.34,0.6630546790239047
output_h264_1280x720_2500k.mp4,20569245,h264,11.566827535629272,1280x720,2500,52.18,0.5420870819517196
output_h264_1280x720_3000k.mp4,24302479,h264,12.011801481246948,1280x720,3000,52.87,0.45881418105535654
output_h264_1280x720_3500k.mp4,28013890,h264,12.038981914520264,1280x720,3500,53.51,0.39802833522941655
output_h264_720x480_100k.mp4,3289838,h264,3.6378214359283447,720x480,100,37.6,1.923196218172445
output_h264_720x480_200k.mp4,3997600,h264,3.801119804382324,720x480,200,41.69,1.5827006203722234
output_h264_720x480_300k.mp4,4705613,h264,3.997471570968628,720x480,300,44.14,1.3445653095569057
output_h264_720x480_400k.mp4,5419570,h264,4.774636030197144,720x480,400,46.15,1.1674365309424917
output_h264_720x480_500k.mp4,6112978,h264,4.651100397109985,720x480,500,47.74,1.035011740595173
output_h264_720x480_750k.mp4,7820265,h264,4.473515272140503,720x480,750,49.95,0.8090523786598024
output_h264_720x480_1000k.mp4,9685593,h264,4.733537197113037,720x480,1000,51.23,0.6532386814106271
output_h264_720x480_1250k.mp4,11577679,h264,4.904213190078735,720x480,1250,52.11,0.5464829349647714
output_h264_720x480_1500k.mp4,13444008,h264,5.049537420272827,720x480,1500,52.87,0.47061888091705983
output_h264_720x480_2000k.mp4,17108133,h264,5.2519145011901855,720x480,2000,54.48,0.3698243402713785
output_h264_720x480_2500k.mp4,20657585,h264,5.428534269332886,720x480,2500,56.28,0.30627994511459106
